# Unified output from multiple LTR annotation tools
# Format: LTR_HARVEST
# predictions are reported in the following way
# s(ret) e(ret) l(ret) s(lLTR) e(lLTR) l(lLTR) s(rLTR) e(rLTR) l(rLTR) sim(LTRs) seq-id

# Results from LTR_FINDER
156935 164480 7545 156935 157195 261 164223 164480 258 0.927 Chr1
465118 477981 12863 465118 466192 1075 476907 477981 1075 0.999 Chr1
815868 831940 16072 815868 816936 1069 830865 831940 1076 0.993 Chr1
832966 839857 6891 832966 833367 402 839456 839857 402 0.99 Chr1
905436 910506 5070 905436 905697 262 910245 910506 262 0.962 Chr1
939752 953845 14093 939752 940109 358 953486 953845 360 0.992 Chr1
944163 953170 9007 944163 944818 656 952515 953170 656 0.973 Chr1
2535677 2539063 3386 2535677 2535811 135 2538929 2539063 135 1 Chr1
2908921 2917721 8800 2908921 2909993 1073 2916649 2917721 1073 1 Chr1
3205015 3219102 14087 3205015 3208962 3948 3215143 3219102 3960 0.983 Chr1
4469010 4483872 14862 4469010 4469450 441 4483432 4483872 441 1 Chr1
4638957 4645052 6095 4638957 4639460 504 4644549 4645052 504 1 Chr1
6745811 6758683 12872 6745811 6746894 1084 6757600 6758683 1084 0.994 Chr1
8162776 8168193 5417 8162776 8163870 1095 8167099 8168193 1095 0.999 Chr1
8457168 8461538 4370 8457168 8457897 730 8460806 8461538 733 0.947 Chr1
8641926 8654727 12801 8641926 8645089 3164 8651563 8654727 3165 0.999 Chr1
8822541 8827744 5203 8822541 8822979 439 8827306 8827744 439 0.998 Chr1
8862573 8875549 12976 8862573 8863688 1116 8874432 8875549 1118 0.992 Chr1
8973534 8977944 4410 8973534 8974326 793 8977152 8977944 793 0.997 Chr1
9214589 9220980 6391 9214589 9215553 965 9220016 9220980 965 0.998 Chr1
9531582 9544426 12844 9531582 9532687 1106 9543324 9544426 1103 0.988 Chr1
9619045 9624783 5738 9619045 9619439 395 9624388 9624783 396 0.97 Chr1
9942374 9944168 1794 9942374 9942664 291 9943878 9944168 291 0.983 Chr1
9956620 9961024 4404 9956620 9957388 769 9960257 9961024 768 0.96 Chr1
9989028 10001967 12939 9989028 9990284 1257 10000711 10001967 1257 0.99 Chr1
10030395 10042892 12497 10030395 10031395 1001 10041892 10042892 1001 0.985 Chr1
10070758 10077181 6423 10070758 10071242 485 10076697 10077181 485 0.998 Chr1
10081801 10097456 15655 10081801 10082319 519 10096938 10097456 519 0.969 Chr1
10569546 10577773 8227 10569546 10569986 441 10577333 10577773 441 0.998 Chr1
10852351 10864928 12577 10852351 10853376 1026 10863906 10864928 1023 0.981 Chr1
10951372 10957823 6451 10951372 10952339 968 10956845 10957823 979 0.947 Chr1
11123584 11128979 5395 11123584 11124673 1090 11127893 11128979 1087 0.995 Chr1
11300359 11307153 6794 11300359 11300802 444 11306708 11307153 446 0.996 Chr1
11521733 11525129 3396 11521733 11522121 389 11524741 11525129 389 0.961 Chr1
11830915 11839788 8873 11830915 11831546 632 11839134 11839788 655 0.928 Chr1
11885777 11893207 7430 11885777 11886216 440 11892768 11893207 440 1 Chr1
12454829 12466853 12024 12454829 12457932 3104 12463706 12466853 3148 0.977 Chr1
12531213 12542830 11617 12531213 12535602 4390 12538442 12542830 4389 0.999 Chr1
12598068 12610973 12905 12598068 12599161 1094 12609880 12610973 1094 1 Chr1
12718709 12724834 6125 12718709 12719125 417 12724418 12724834 417 0.998 Chr1
12791744 12802322 10578 12791744 12794910 3167 12799156 12802322 3167 1 Chr1
12860729 12867171 6442 12860729 12861691 963 12866194 12867171 978 0.984 Chr1
12948189 12960273 12084 12948189 12951349 3161 12957112 12960273 3162 0.998 Chr1
12990581 12996755 6174 12990581 12991438 858 12995898 12996755 858 0.997 Chr1
13012817 13026816 13999 13012817 13016149 3333 13023474 13026816 3343 0.996 Chr1
13061026 13068569 7543 13061026 13064077 3052 13065519 13068569 3051 0.998 Chr1
13091666 13107111 15445 13091666 13092822 1157 13105942 13107111 1170 0.95 Chr1
13447622 13452992 5370 13447622 13447934 313 13452680 13452992 313 0.997 Chr1
13459788 13469930 10142 13459788 13459964 177 13469754 13469930 177 0.96 Chr1
13624754 13635013 10259 13624754 13627390 2637 13632377 13635013 2637 0.995 Chr1
13643120 13651128 8008 13643120 13643403 284 13650846 13651128 283 0.94 Chr1
13737088 13747290 10202 13737088 13740257 3170 13744122 13747290 3169 0.997 Chr1
13862941 13875812 12871 13862941 13864019 1079 13874734 13875812 1079 0.997 Chr1
14490134 14502764 12630 14490134 14491247 1114 14501659 14502764 1106 0.983 Chr1
14660486 14672570 12084 14660486 14663640 3155 14669420 14672570 3151 0.999 Chr1
14870335 14876811 6476 14870335 14871329 995 14875832 14876811 980 0.975 Chr1
15036632 15049411 12779 15036632 15037861 1230 15048180 15049411 1232 0.988 Chr1
15301258 15307713 6455 15301258 15302228 971 15306731 15307713 983 0.978 Chr1
15516707 15529222 12515 15516707 15517745 1039 15528192 15529222 1031 0.98 Chr1
15537075 15541245 4170 15537075 15537614 540 15540706 15541245 540 0.948 Chr1
15597283 15605373 8090 15597283 15597724 442 15604932 15605373 442 1 Chr1
15864700 15876639 11939 15864700 15867695 2996 15873642 15876639 2998 0.991 Chr1
16040686 16045652 4966 16040686 16041414 729 16044924 16045652 729 0.963 Chr1
16159383 16172130 12747 16159383 16160500 1118 16171012 16172130 1119 0.992 Chr1
16196019 16199547 3528 16196019 16196522 504 16199042 16199547 506 0.97 Chr1
16211894 16224359 12465 16211894 16214996 3103 16221257 16224359 3103 0.993 Chr1
16268969 16278417 9448 16268969 16271709 2741 16275650 16278417 2768 0.981 Chr1
16307566 16311963 4397 16307566 16308357 792 16311183 16311963 781 0.975 Chr1
16437149 16442436 5287 16437149 16437447 299 16442142 16442436 295 0.95 Chr1
16574115 16586632 12517 16574115 16575198 1084 16585544 16586632 1089 0.981 Chr1
16600430 16606821 6391 16600430 16601362 933 16605863 16606821 959 0.921 Chr1
16618257 16629872 11615 16618257 16621374 3118 16626756 16629872 3117 0.987 Chr1
16673349 16678890 5541 16673349 16673760 412 16678475 16678890 416 0.935 Chr1
16733782 16742199 8417 16733782 16734996 1215 16740972 16742199 1228 0.963 Chr1
16753659 16758767 5108 16753659 16754235 577 16758186 16758767 582 0.921 Chr1
16756228 16758767 2539 16756228 16756336 109 16758659 16758767 109 0.908 Chr1
16818479 16821654 3175 16818479 16818590 112 16821546 16821654 109 0.893 Chr1
16974769 16979173 4404 16974769 16975560 792 16978382 16979173 792 0.996 Chr1
17051365 17064287 12922 17051365 17054501 3137 17061142 17064287 3146 0.984 Chr1
17128094 17132017 3923 17128094 17129057 964 17131044 17132017 974 0.906 Chr1
17311142 17318896 7754 17311142 17311706 565 17318334 17318896 563 0.963 Chr1
17327596 17333909 6313 17327596 17328591 996 17332897 17333909 1013 0.974 Chr1
17436254 17442715 6461 17436254 17437238 985 17441741 17442715 975 0.99 Chr1
17524385 17531788 7403 17524385 17525171 787 17531002 17531788 787 0.999 Chr1
17634701 17646374 11673 17634701 17637845 3145 17643234 17646374 3141 0.995 Chr1
17665572 17674791 9219 17665572 17666765 1194 17673572 17674791 1220 0.93 Chr1
17773917 17785528 11611 17773917 17774892 976 17784553 17785528 976 0.968 Chr1
17819711 17833673 13962 17819711 17820286 576 17833098 17833673 576 0.926 Chr1
17887073 17892281 5208 17887073 17887508 436 17891846 17892281 436 0.995 Chr1
18080407 18087148 6741 18080407 18080846 440 18086722 18087148 427 0.927 Chr1
18288215 18295921 7706 18288215 18289120 906 18295014 18295921 908 0.992 Chr1
18308353 18319968 11615 18308353 18311471 3119 18316854 18319968 3115 0.99 Chr1
18545937 18553238 7301 18545937 18546357 421 18552818 18553238 421 0.998 Chr1
18909844 18918733 8889 18909844 18910500 657 18918079 18918733 655 0.967 Chr1
19015824 19020841 5017 19015824 19015957 134 19020708 19020841 134 0.985 Chr1
19210370 19226263 15893 19210370 19211452 1083 19225189 19226263 1075 0.985 Chr1
19440238 19451648 11410 19440238 19443265 3028 19448621 19451648 3028 0.995 Chr1
19555358 19566264 10906 19555358 19559392 4035 19562230 19566264 4035 1 Chr1
19579600 19588987 9387 19579600 19582770 3171 19585819 19588987 3169 0.998 Chr1
19623706 19635029 11323 19623706 19624146 441 19634589 19635029 441 1 Chr1
19651301 19672535 21234 19651301 19654477 3177 19669359 19672535 3177 0.997 Chr1
19657146 19668202 11056 19657146 19661258 4113 19664094 19668202 4109 0.998 Chr1
19754167 19764923 10756 19754167 19757410 3244 19761679 19764923 3245 0.996 Chr1
19790413 19801716 11303 19790413 19790853 441 19801276 19801716 441 1 Chr1
19936057 19948155 12098 19936057 19939220 3164 19944992 19948155 3164 0.998 Chr1
19999257 20011349 12092 19999257 20002410 3154 20008193 20011349 3157 0.997 Chr1
20158734 20170497 11763 20158734 20161914 3181 20167317 20170497 3181 0.999 Chr1
20219980 20231320 11340 20219980 20220543 564 20230758 20231320 563 0.965 Chr1
20365151 20371606 6455 20365151 20366114 964 20370617 20371606 990 0.964 Chr1
20470517 20474996 4479 20470517 20471301 785 20474212 20474996 785 0.975 Chr1
20611257 20617723 6466 20611257 20612241 985 20616744 20617723 980 0.995 Chr1
20672892 20684990 12098 20672892 20676050 3159 20681832 20684990 3159 0.996 Chr1
20756401 20760488 4087 20756401 20757121 721 20759762 20760488 727 0.966 Chr1
20792822 20804142 11320 20792822 20793259 438 20803704 20804142 439 0.982 Chr1
20835063 20841650 6587 20835063 20835502 440 20841211 20841650 440 0.995 Chr1
20877056 20887347 10291 20877056 20878038 983 20886380 20887347 968 0.968 Chr1
20917845 20922823 4978 20917845 20918632 788 20922037 20922823 787 0.977 Chr1
20963445 20976302 12857 20963445 20964512 1068 20975235 20976302 1068 1 Chr1
20998350 21008556 10206 20998350 21001521 3172 21005382 21008556 3175 0.991 Chr1
21048200 21054483 6283 21048200 21048609 410 21054074 21054483 410 1 Chr1
21091555 21098774 7219 21091555 21091994 440 21098335 21098774 440 1 Chr1
21205923 21218775 12852 21205923 21206990 1068 21217708 21218775 1068 1 Chr1
21245234 21258128 12894 21245234 21246303 1070 21257059 21258128 1070 0.999 Chr1
21450437 21463939 13502 21450437 21453824 3388 21460552 21463939 3388 0.999 Chr1
21582074 21594000 11926 21582074 21584695 2622 21591395 21594000 2606 0.945 Chr1
21643956 21656847 12891 21643956 21645059 1104 21655744 21656847 1104 1 Chr1
21763714 21769554 5840 21763714 21764130 417 21769138 21769554 417 1 Chr1
21859594 21872878 13284 21859594 21860875 1282 21871571 21872878 1308 0.933 Chr1
21950022 21955961 5939 21950022 21950433 412 21955550 21955961 412 0.998 Chr1
22066547 22073347 6800 22066547 22066648 102 22073245 22073347 103 0.951 Chr1
22294732 22301184 6452 22294732 22295695 964 22300198 22301184 987 0.972 Chr1
22400917 22412378 11461 22400917 22401485 569 22411810 22412378 569 0.949 Chr1
22508719 22520663 11944 22508719 22511715 2997 22517666 22520663 2998 0.996 Chr1
23127497 23137437 9940 23127497 23130662 3166 23134273 23137437 3165 0.998 Chr1
23474450 23483915 9465 23474450 23478056 3607 23480309 23483915 3607 0.995 Chr1
23502318 23508734 6416 23502318 23503294 977 23507797 23508734 938 0.951 Chr1
23593880 23606771 12891 23593880 23594961 1082 23605692 23606771 1080 0.998 Chr1
24742856 24748434 5578 24742856 24744123 1268 24747173 24748434 1262 0.985 Chr1
24774793 24779567 4774 24774793 24775001 209 24779359 24779567 209 0.995 Chr1
25099691 25112576 12885 25099691 25100900 1210 25111378 25112576 1199 0.984 Chr1
25566857 25573312 6455 25566857 25567348 492 25572821 25573312 492 1 Chr1
25653447 25664751 11304 25653447 25653887 441 25664311 25664751 441 1 Chr1
25709289 25714504 5215 25709289 25709645 357 25714148 25714504 357 1 Chr1
25804390 25816368 11978 25804390 25807367 2978 25813367 25816368 3002 0.99 Chr1
25937890 25947352 9462 25937890 25938981 1092 25946259 25947352 1094 0.998 Chr1
26015187 26027991 12804 26015187 26016239 1053 26026939 26027991 1053 0.997 Chr1
26542779 26557892 15113 26542779 26545767 2989 26554904 26557892 2989 0.998 Chr1
26665885 26678726 12841 26665885 26666968 1084 26677643 26678726 1084 1 Chr1
26848660 26861531 12871 26848660 26849736 1077 26860455 26861531 1077 1 Chr1
26942850 26954865 12015 26942850 26945859 3010 26951858 26954865 3008 0.999 Chr1
26980172 26991447 11275 26980172 26984361 4190 26987256 26991447 4192 0.998 Chr1
27399715 27408719 9004 27399715 27403093 3379 27405349 27408719 3371 0.994 Chr1
27440229 27451546 11317 27440229 27444441 4213 27447335 27451546 4212 0.998 Chr1
27899250 27905682 6432 27899250 27900222 973 27904725 27905682 958 0.982 Chr1
28305311 28307064 1753 28305311 28305574 264 28306802 28307064 263 0.936 Chr1
28337720 28342905 5185 28337720 28338142 423 28342483 28342905 423 0.988 Chr1
28712400 28724797 12397 28712400 28713726 1327 28723470 28724797 1328 0.989 Chr1
28735358 28738561 3203 28735358 28735735 378 28738226 28738561 336 0.857 Chr1
28839999 28846437 6438 28839999 28840957 959 28845460 28846437 978 0.98 Chr1
28995849 29007333 11484 28995849 28998897 3049 29004283 29007333 3051 0.991 Chr1
29083647 29096564 12917 29083647 29084871 1225 29095344 29096564 1221 0.982 Chr1
29253360 29262105 8745 29253360 29256923 3564 29258542 29262105 3564 1 Chr1
29344269 29357185 12916 29344269 29345356 1088 29356097 29357185 1089 0.992 Chr1
29789785 29800955 11170 29789785 29789911 127 29800829 29800955 127 0.937 Chr1
29881330 29886605 5275 29881330 29881790 461 29886144 29886605 462 0.989 Chr1
