# LTR_retriever Module 1 Filter Results
# Column descriptions:
# Sequence_ID: 序列标识符
# Total_Length: 完整序列长度
# Internal_Length: Internal region长度
# LTR5_Length: 5' LTR长度
# LTR3_Length: 3' LTR长度
# LTR_Internal_Ratio: LTR与internal region的长度比
# Internal_Check: Internal region长度检查结果
# Ratio_Check: LTR:internal比率检查结果
# Gap_Check: Gap检查结果
# Max_Gap_Length: 最大连续Gap长度
# TRF_Check: TRF检查结果
# Tandem_Repeats: 符合过滤条件的串联重复数量
# Filter_Status: 最终过滤状态 (PASS/FILTER)
# Filter_Reason: 过滤原因
#
Sequence_ID	Total_Length	Internal_Length	LTR5_Length	LTR3_Length	LTR_Internal_Ratio	Internal_Check	Ratio_Check	Gap_Check	Max_Gap_Length	TRF_Check	Tandem_Repeats	Filter_Status	Filter_Reason
LTR_1	7545	7027	261	258	0.037	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.037) < minimum (0.05)
LTR_2	12863	10714	1075	1075	0.100	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_3	16072	13928	1069	1076	0.077	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_4	6891	6088	402	402	0.066	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_5	5070	4547	262	262	0.058	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_6	14093	13376	358	360	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_7	9007	7696	656	656	0.085	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_8	3386	3117	135	135	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_9	8800	6655	1073	1073	0.161	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_10	14087	6180	3948	3960	0.640	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_11	14862	13981	441	441	0.032	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.032) < minimum (0.05)
LTR_12	6095	5088	504	504	0.099	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_13	12872	10705	1084	1084	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_14	5417	3228	1095	1095	0.339	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_15	4370	2908	730	733	0.252	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_16	12801	6473	3164	3165	0.489	PASS	PASS	PASS	0	PASS	0	PASS	NA
