SeqID	Retrotransposon	Left_LTR	Right_LTR			Left_TSD	Right_TSD	Polypurine Tract			TG	CA
Start	End	Start	End	Start	End	ID	Start	End	Start	End	Start	End	Strand	Purine%	Start	End
Chr1	465115	477981	465115	466193	476903	477981	99	---	---	---	---	466529	466566	-	71	465118	477979
Chr1	487016	493922	487016	487416	493523	493922	97	487010	487015	493923	493928	---	---	0	--	487017	493920
Chr1	939752	953845	939752	940110	953485	953845	98	---	---	---	---	940174	940188	-	73	939752	953843
Chr1	944163	953170	944163	944819	952514	953170	97	---	---	---	---	945139	945204	-	81	944163	953168
Chr1	973358	976402	973358	973586	976182	976402	92	---	---	---	---	973704	973715	-	75	---	---
Chr1	2908913	2917721	2908921	2909994	2916648	2917721	99	2908907	2908912	2917722	2917727	2910278	2910289	-	83	2908921	2917719
Chr1	5074038	5081581	5074038	5074169	5081450	5081581	98	---	---	---	---	5074362	5074431	-	88	---	---
Chr1	5193518	5198235	5193518	5194408	5197342	5198235	92	---	---	---	---	5197309	5197333	+	80	---	---
Chr1	5194586	5197584	5194586	5194727	5197443	5197584	93	---	---	---	---	5197309	5197333	+	80	5194602	5197578
Chr1	7201748	7204972	7201748	7202095	7204612	7204972	90	---	---	---	---	7202097	7202116	-	70	7201753	7204956
Chr1	8641926	8650176	8641926	8645358	8646744	8650176	99	---	---	---	---	8646644	8646657	+	85	---	---
Chr1	8817887	8828183	8817887	8818323	8827744	8828183	90	---	---	---	---	8818689	8818729	-	82	8817890	8828175
Chr1	8822534	8827751	8822541	8822981	8827305	8827745	99	8822529	8822533	8827752	8827756	8823079	8823135	-	71	8822539	8827749
Chr1	8862565	8875550	8862573	8863689	8874431	8875549	99	8862560	8862564	8875551	8875555	8864149	8864227	-	82	8862570	8875547
Chr1	8968728	8979545	8968728	8969257	8979009	8979545	85	---	---	---	---	8978523	8978552	+	80	8968738	8979533
Chr1	8973518	8977953	8973518	8974336	8977135	8977953	98	---	---	---	---	8974349	8974375	-	70	8973534	8977942
Chr1	9046037	9048262	9046037	9046708	9047580	9048262	90	---	---	---	---	9047547	9047567	+	76	---	---
Chr1	9123996	9133677	9123996	9125674	9131882	9133677	90	---	---	---	---	9131650	9131663	+	78	9123997	9133675
Chr1	9214582	9220980	9214587	9215554	9220013	9220980	99	9214577	9214581	9220981	9220985	9219959	9219983	+	72	9214582	9220978
Chr1	9409128	9416726	9409128	9409423	9416431	9416726	97	---	---	---	---	9416125	9416152	+	78	9409128	9416709
